word,business,entertainment,politics,sport,tech
Time Warner_ORG,2,0,0,0,0
Quarterly_DATE,1,0,0,0,0
US_GPE,751,312,86,60,300
TimeWarner_ORG,7,0,0,0,0
76%_PERCENT,2,0,0,0,0
1.13bn_MONEY,3,0,0,0,0
600_MONEY,3,1,0,0,2
the three months to December_DATE,6,0,0,0,0
639_MONEY,1,0,0,0,0
year-earlier_DATE,2,0,0,0,0
Google_ORG,11,0,1,0,92
fourth quarter_DATE,8,0,0,0,0
2%_PERCENT,26,0,2,0,0
11.1bn_MONEY,1,0,0,0,0
10.9bn_MONEY,1,0,0,0,0
one_CARDINAL,135,155,138,142,217
Warner Bros_ORG,1,1,0,0,2
AOL_ORG,6,0,0,0,22
Friday_DATE,63,35,32,43,9
8%_PERCENT,19,0,2,0,0
"464,000_CARDINAL",1,0,0,0,0
the fourth quarter_DATE,19,0,1,0,0
the preceding three quarters_DATE,1,0,0,0,0
2000_DATE,29,16,12,49,8
2003_DATE,109,52,19,47,36
the US Securities Exchange Commission_ORG,1,0,0,0,0
SEC_ORG,50,0,0,0,0
27%_PERCENT,6,0,0,0,1
284_MONEY,1,0,0,0,0
Alexander and Catwoman_ORG,1,0,0,0,0
third_ORDINAL,26,51,60,129,43
Rings_ORG,1,12,0,2,4
the full-year_DATE,1,0,0,0,0
3.36bn_MONEY,1,0,0,0,0
6.4%_PERCENT,2,0,0,0,0
42.09bn_MONEY,1,0,0,0,0
our full-year_DATE,1,0,0,0,0
Richard Parsons_PERSON,1,0,0,0,0
2005_DATE,146,17,25,31,87
around 5%_PERCENT,1,0,1,0,0
300_MONEY,3,1,2,0,2
500_MONEY,10,1,5,0,0
German_NORP,82,16,12,12,10
Bertelsmann_PERSON,1,0,0,0,0
AOL Europe_ORG,2,0,0,0,0
Greenspan_PERSON,12,0,0,0,0
almost three months_DATE,2,0,0,0,0
the Federal Reserve_ORG,12,0,0,0,0
Alan Greenspan_PERSON,5,0,0,0,0
New York_GPE,50,41,4,8,15
1.2871_MONEY,1,0,0,0,0
1.2974_MONEY,1,0,0,0,0
Thursday_DATE,62,21,52,21,6
recent months_DATE,23,0,0,0,6
